angle,angle_d,real_height,ref_height,distort,scalars
0,0,0,0,0,1
0.1,0.0998136891864402,0.0050939,0.005103,-0.00011259,1.00178645046035
0.2,0.199626772540589,0.0101878,0.010207,-0.00048478,1.00188460707906
0.3,0.299438252367555,0.01528168,0.01531,-0.00111808,1.00185319938646
0.4,0.399247522926208,0.02037554,0.020414,-0.00201222,1.0018875573359
0.5,0.49905358669023,0.02546936,0.025518,-0.00316747,1.00190974567088
0.6,0.598855838140672,0.03056314,0.030622,-0.0045836,1.00192584924193
0.7,0.69865347597883,0.03565687,0.035726,-0.0062606,1.00193875682302
0.8,0.798445699102479,0.04075054,0.04083,-0.00819849,1.00194991281097
0.9,0.898231706639757,0.04584414,0.045934,-0.01039725,1.00196011965761
1,0.998010697983022,0.05093766,0.051039,-0.01285689,1.00198949068332
1.1,1.09778206869844,0.0560311,0.056144,-0.0155774,1.00201495241036
1.2,1.19754482290517,0.06112444,0.06125,-0.01855878,1.00205417014863
1.3,1.29729835683476,0.06621768,0.066356,-0.02180104,1.00208886810894
1.4,1.39704187122275,0.07131081,0.071462,-0.02530418,1.00212015541543
1.5,1.49677437141656,0.07640381,0.076569,-0.02906818,1.00216206495461
1.6,1.59649525488797,0.08149668,0.081676,-0.03309305,1.00220033503205
1.7,1.69620372375462,0.08658941,0.086783,-0.03737879,1.00223572374497
1.8,1.79589917641606,0.091682,0.091891,-0.04192539,1.00227961868197
1.9,1.89558042454432,0.09677442,0.097,-0.04673286,1.00233098787882
2,1.99524725913374,0.10186669,0.10211,-0.05180119,1.0023885138508
2.1,2.09489829740585,0.10695877,0.107219,-0.05713037,1.00243299357313
2.2,2.19453333149625,0.11205068,0.11233,-0.06272042,1.00249280057917
2.3,2.29415117575257,0.11714239,0.117441,-0.06857132,1.00254911992149
2.4,2.39375123227519,0.1222339,0.122553,-0.07468307,1.00261056875384
2.5,2.49333251265437,0.12732519,0.127666,-0.08105567,1.00267668950661
2.6,2.59289461602666,0.13241627,0.13278,-0.08768912,1.00274686788867
2.7,2.69243675107266,0.13750713,0.137894,-0.09458341,1.00281345410962
2.8,2.79195773635169,0.14259774,0.143009,-0.10173854,1.00288405692825
2.9,2.89145717336597,0.14768811,0.148125,-0.10915451,1.0029581934524
3,2.99093427343405,0.15277823,0.153242,-0.11683131,1.00303557646924
3.1,3.09038805343851,0.15786808,0.15836,-0.12476894,1.0031160194005
3.2,3.18981792206732,0.16295766,0.163479,-0.13296735,1.00319923592423
3.3,3.28922309356635,0.16804696,0.168599,-0.14142662,1.0032850341357
3.4,3.38860278322073,0.17313597,0.17372,-0.15014672,1.00337324473938
3.5,3.48795620738692,0.17822468,0.178842,-0.15912762,1.00346371781955
3.6,3.58728277870532,0.18331309,0.183965,-0.16836934,1.00355626540363
3.7,3.68658132536686,0.18840117,0.189089,-0.17787186,1.0036508796628
3.8,3.78585165254294,0.19348894,0.194214,-0.18763518,1.00374729428979
3.9,3.88509259082629,0.19857637,0.199341,-0.1976593,1.00385055885552
4,3.984303362401,0.20366345,0.204468,-0.20794421,1.00395038972383
4.1,4.08348358062089,0.20875019,0.209597,-0.2184899,1.00405657115809
4.2,4.18263208012141,0.21383656,0.214728,-0.22929638,1.00416879134232
4.3,4.28174828181366,0.21892256,0.219859,-0.24036363,1.00427749428839
4.4,4.38083160775957,0.22400819,0.224992,-0.25169165,1.00439184835162
4.5,4.47988109168694,0.22909343,0.230127,-0.26328044,1.00451156543424
4.6,4.57889596363857,0.23417827,0.235262,-0.27512998,1.00462779915489
4.7,4.67787564974198,0.23926271,0.240399,-0.28724028,1.00474913119558
4.8,4.77681938278416,0.24434674,0.245538,-0.29961133,1.00487528501506
4.9,4.87572620251411,0.24943034,0.250678,-0.31224311,1.00500203784351
5,4.97459553938508,0.25451351,0.25582,-0.32513563,1.00513328349446
5.1,5.0734266307601,0.25959624,0.260963,-0.33828888,1.0052649452858
5.2,5.17221871558624,0.26467852,0.266108,-0.35170285,1.00540081605413
5.3,5.27097103442424,0.26976034,0.271255,-0.36537754,1.0055406958636
5.4,5.36968302370963,0.2748417,0.276403,-0.37931294,1.00568072457709
5.5,5.46835373296015,0.27992258,0.281553,-0.39350903,1.00582453905648
5.6,5.56698260185398,0.28500298,0.286704,-0.40796582,1.00596842882134
5.7,5.66556868346114,0.29008288,0.291857,-0.4226833,1.00611590728829
5.8,5.76411142081383,0.29516228,0.297013,-0.43766146,1.00627017788316
5.9,5.86261006455724,0.30024117,0.30217,-0.45290029,1.00642426886359
6,5.96106386714624,0.30531954,0.307328,-0.46839979,1.00657822293326
6.1,6.05947227663784,0.31039739,0.312489,-0.48415994,1.00673849093899
6.2,6.15783416159111,0.31547469,0.317652,-0.50018074,1.00690169471282
6.3,6.25614916751369,0.32055145,0.322816,-0.51646218,1.00706454455283
6.4,6.3544163606121,0.32562765,0.327983,-0.53300426,1.00723326167173
6.5,6.45263500280608,0.33070328,0.333152,-0.54980695,1.00740458334734
6.6,6.55080474478635,0.33577835,0.338322,-0.56687027,1.00757538417828
6.7,6.64892446535092,0.34085283,0.343495,-0.58419419,1.00775164460275
6.8,6.74699362566581,0.34592672,0.34867,-0.60177871,1.00793023447278
6.9,6.84501149547452,0.35100001,0.353847,-0.61962382,1.00811108239
7,6.94297734659743,0.35607269,0.359026,-0.63772951,1.00829412106837
7.1,7.04089064596155,0.36114476,0.364208,-0.65609577,1.00848202809311
7.2,7.13875047645215,0.3662162,0.369391,-0.67472259,1.00866919595583
7.3,7.23655611627383,0.371287,0.374577,-0.69360997,1.0088610697385
7.4,7.33430703856626,0.37635716,0.379766,-0.71275789,1.00905746020615
7.5,7.43200233299615,0.38142666,0.384956,-0.73216634,1.00925299767982
7.6,7.52964166954909,0.38649551,0.39015,-0.75183531,1.0094554526649
7.7,7.62722394978584,0.39156368,0.395345,-0.7717648,1.00965697329231
7.8,7.72474865546446,0.39663117,0.400543,-0.79195479,1.00986263888438
7.9,7.82221527029118,0.40169798,0.405743,-0.81240527,1.01006980418473
8,7.91962270325115,0.40676408,0.410946,-0.83311623,1.01028094712788
8.1,8.01697063494764,0.41182948,0.416152,-0.85408767,1.01049589747679
8.2,8.1142583635344,0.41689417,0.42136,-0.87531956,1.01071214308418
8.3,8.21148499760381,0.42195813,0.426571,-0.89681191,1.01093205622084
8.4,8.30864984039464,0.42702135,0.431784,-0.91856469,1.01115318941313
8.5,8.40575258110829,0.43208384,0.437,-0.9405779,1.01137779186558
8.6,8.5027921439831,0.43714557,0.442219,-0.96285152,1.0116058135966
8.7,8.59976803121202,0.44220654,0.44744,-0.98538555,1.01183487697853
8.8,8.69667974710372,0.44726675,0.452664,-1.00817998,1.01206718362141
8.9,8.79352641535814,0.45232618,0.457892,-1.03123478,1.01230488140218
9,8.89030735388718,0.45738482,0.463122,-1.05454995,1.0125434420845
9.1,8.9870218831725,0.46244266,0.468354,-1.07812548,1.01278286047399
9.2,9.08366951735072,0.4674997,0.47359,-1.10196136,1.01302738803897
9.3,9.18024958179677,0.47255593,0.478829,-1.12605756,1.01327476728522
9.4,9.27676121365753,0.47761133,0.484071,-1.15041409,1.01352495134485
9.5,9.37320412540075,0.48266591,0.489316,-1.17503092,1.01377783237271
9.6,9.46957726874242,0.48771964,0.494563,-1.19990805,1.01403133980826
9.7,9.5658803610866,0.49277253,0.499814,-1.22504545,1.01428949377515
9.8,9.66211235997349,0.49782455,0.505069,-1.25044313,1.01455221523326
9.9,9.75827298781575,0.50287571,0.510326,-1.27610106,1.01481537058133
10,9.85436158848129,0.507926,0.515586,-1.30201923,1.01508093698688
10.1,9.95037712840602,0.51297539,0.52085,-1.32819763,1.01535085338109
10.2,10.0463195276288,0.5180239,0.526117,-1.35463625,1.01562302434309
10.3,10.1421877582833,0.5230715,0.531387,-1.38133506,1.01589744423086
10.4,10.2379813655019,0.52811819,0.536661,-1.40829406,1.01617594349477
10.5,10.3336997071561,0.53316396,0.541938,-1.43551324,1.01645655118924
10.6,10.4293421439723,0.5382088,0.547218,-1.46299257,1.01673922834409
10.7,10.524908228959,0.54325271,0.552502,-1.49073204,1.01702575952175
10.8,10.6203969496676,0.54829566,0.557789,-1.51873164,1.0173142716468
10.9,10.7158080541937,0.55333766,0.56308,-1.54699136,1.01760650088411
11,10.8111407254444,0.55837869,0.568375,-1.57551118,1.01790238449107
11.1,10.9063945276107,0.56341875,0.573673,-1.60429108,1.01820005102777
11.2,11.001568838543,0.56845783,0.578974,-1.63333105,1.01849947251144
11.3,11.0966628503707,0.57349591,0.58428,-1.66263107,1.01880412712969
11.4,11.1916763243978,0.578533,0.589589,-1.69219114,1.01911040511086
11.5,11.2866082701726,0.58356907,0.594902,-1.72201122,1.01942003197668
11.6,11.381458266204,0.58860412,0.600218,-1.75209131,1.01973122444335
11.7,11.4762258935323,0.59363815,0.605538,-1.7824314,1.02004562880603
11.8,11.5709103596073,0.59867114,0.610863,-1.81303145,1.02036487010214
11.9,11.6655110633802,0.60370308,0.616191,-1.84389147,1.02068553302726
12,11.7600275946842,0.60873397,0.621523,-1.87501143,1.02100922673988
12.1,11.8544591705654,0.61376379,0.626859,-1.90639131,1.02133591165422
12.2,11.9488053867843,0.61879254,0.632199,-1.9380311,1.02166551652352
12.3,12.0430656542749,0.62382021,0.637543,-1.96993079,1.02199798881155
12.4,12.1372393870947,0.62884679,0.642891,-2.00209035,1.022333277713
12.5,12.2313260024374,0.63387227,0.648243,-2.03450977,1.02267133408439
12.6,12.3253249206461,0.63889664,0.653599,-2.06718903,1.02301211037829
12.7,12.4192357521102,0.6439199,0.65896,-2.10012811,1.02335709767628
12.8,12.5130575496037,0.64894202,0.664324,-2.133327,1.02370316534596
12.9,12.6067901166234,0.65396301,0.669693,-2.16678568,1.02405333292475
13,12.7004328858206,0.65898286,0.675067,-2.20050413,1.02440752404395
13.1,12.7939851067121,0.66400155,0.680444,-2.23448233,1.02476266809919
13.2,12.8874464049841,0.66901908,0.685826,-2.26872026,1.02512173494364
13.3,12.9808162229362,0.67403544,0.691213,-2.30321791,1.02548465404134
13.4,13.0740938201835,0.67905061,0.696603,-2.33797526,1.0258484268205
13.5,13.1672790174922,0.6840646,0.701999,-2.37299229,1.0262174069525
13.6,13.260371080842,0.68907739,0.707398,-2.40826897,1.02658715880955
13.7,13.3533694655411,0.69408897,0.712803,-2.4438053,1.02696200459719
13.8,13.4462736301745,0.69909933,0.718212,-2.47960125,1.02733899058378
13.9,13.5390832218217,0.70410847,0.723625,-2.5156568,1.02771807304065
14,13.6317977052148,0.70911638,0.729044,-2.55197193,1.02810204440631
14.1,13.7244163634672,0.71412304,0.734467,-2.58854663,1.02848803197835
14.2,13.8169386683575,0.71912844,0.739895,-2.62538087,1.0288774005378
14.3,13.9093644642346,0.72413259,0.745327,-2.66247464,1.02926868682985
14.4,14.0016928596864,0.72913546,0.750765,-2.69982791,1.02966463872159
14.5,14.0939237051301,0.73413706,0.756207,-2.73744066,1.03006242458322
14.6,14.1860561164168,0.73913736,0.761654,-2.77531288,1.03046340398759
14.7,14.2780899500567,0.74413637,0.767106,-2.81344454,1.03086750080499
14.8,14.3700245130773,0.74913407,0.772563,-2.85183562,1.03127468224746
14.9,14.4618593001956,0.75413045,0.778025,-2.89048611,1.03168490279102
15,14.5535939930706,0.75912551,0.783493,-2.92939597,1.03209942187294
15.1,14.6452280927014,0.76411924,0.788965,-2.9685652,1.03251555346257
15.2,14.7367609201945,0.76911162,0.794443,-3.00799376,1.03293589557261
15.3,14.8281921668826,0.77410265,0.799925,-3.04768164,1.03335778530147
15.4,14.9195211609511,0.77909231,0.805413,-3.08762881,1.03378378872717
15.5,15.0107477830104,0.78408061,0.810907,-3.12783526,1.03421381635748
15.6,15.1018713678798,0.78906753,0.816405,-3.16830096,1.03464528568296
15.7,15.1928914368948,0.79405306,0.821909,-3.20902589,1.03508070354895
15.8,15.2838075147969,0.79903719,0.827418,-3.25001003,1.03551875977137
15.9,15.3746191297382,0.80401991,0.832933,-3.29125335,1.03596066420793
16,15.4653259953001,0.80900122,0.838453,-3.33275583,1.03640511197251
16.1,15.5559276459888,0.81398111,0.843979,-3.37451746,1.03685329994943
16.2,15.6464234380332,0.81895956,0.849511,-3.4165382,1.03730518757239
16.3,15.7368129132617,0.82393656,0.855048,-3.45881803,1.03775950905735
16.4,15.827095979675,0.82891212,0.86059,-3.50135694,1.03821621042289
16.5,15.9172718225671,0.83388621,0.866139,-3.54415489,1.03867768721106
16.6,16.0073401751026,0.83885883,0.871693,-3.58721187,1.03914147270763
16.7,16.0973007732275,0.84382998,0.877252,-3.63052785,1.03960752852133
16.8,16.1871528135078,0.84879963,0.882818,-3.67410281,1.04007821021317
16.9,16.2768962194783,0.85376779,0.88839,-3.71793671,1.040552256018
17,16.3665303756249,0.85873444,0.893967,-3.76202955,1.04102846975603
17.1,16.4560550309794,0.86369958,0.899551,-3.80638129,1.04150913214523
17.2,16.5454695772345,0.86866319,0.90514,-3.85099192,1.04199189101129
17.3,16.6347735900788,0.87362526,0.910735,-3.89586139,1.04247786974475
17.4,16.7239668283652,0.87858579,0.916337,-3.9409897,1.04296815453844
17.5,16.8130488741623,0.88354477,0.921945,-3.98637682,1.04346155543425
17.6,16.9020193129784,0.88850219,0.927558,-4.03202271,1.0439569090989
17.7,16.9908777337609,0.89345804,0.933179,-4.07792736,1.04445755505205
17.8,17.0796237288972,0.89841231,0.938805,-4.12409074,1.04496008074511
17.9,17.1682568942135,0.90336499,0.944437,-4.17051283,1.04546557643329
18,17.2567768289744,0.90831607,0.950076,-4.21719359,1.04597510864252
18.1,17.3451831358825,0.91326554,0.955722,-4.26413301,1.04648862586012
18.2,17.4334755994364,0.9182134,0.961374,-4.31133106,1.04700497727435
18.3,17.5216536505055,0.92315963,0.967032,-4.3587877,1.04752414270975
18.4,17.6097170801105,0.92810423,0.972697,-4.40650293,1.04804715737585
18.5,17.6976653263294,0.93304718,0.978368,-4.45447669,1.04857291353691
18.6,17.7854981866959,0.93798848,0.984046,-4.50270899,1.04910243673782
18.7,17.8732152839818,0.94292812,0.989731,-4.55119977,1.04963568166787
18.8,17.9608162443823,0.94786609,0.995423,-4.59994903,1.05017260402258
18.9,18.0483006975131,0.95280238,1.001121,-4.64895672,1.05071211094162
19,18.1356680994449,0.95773697,1.006826,-4.69822283,1.05125523138153
19.1,18.2229184407287,0.96266987,1.012538,-4.74774732,1.05180190172567
19.2,18.3100511840861,0.96760106,1.018257,-4.79753017,1.05235209229721
19.3,18.3970659727863,0.97253053,1.023982,-4.84757135,1.05290473503181
19.4,18.4839626297561,0.97745828,1.029715,-4.89787084,1.05346184187012
19.5,18.5707406284619,0.98238429,1.035455,-4.9484286,1.0540223520879
19.6,18.6573996223762,0.98730855,1.041202,-4.9992446,1.05458622838828
19.7,18.7439394440794,0.99223106,1.046956,-5.05031882,1.05515342363905
19.8,18.8303597532866,0.99715181,1.052717,-5.10165123,1.05572390226118
19.9,18.916660213095,1.00207079,1.058486,-5.15324181,1.05629862736544
20,19.0028403148073,1.00698798,1.064262,-5.20509051,1.05687656768257
20.1,19.0888999038069,1.01190338,1.070045,-5.25719731,1.05745767940809
20.2,19.1748386533112,1.01681698,1.075835,-5.30956219,1.05804193002363
20.3,19.2606564145264,1.02172878,1.081633,-5.36218511,1.05863025606463
20.4,19.3463525179549,1.02663875,1.087439,-5.41506605,1.05922263308296
20.5,19.4319268216952,1.03154689,1.093252,-5.46820497,1.05981803696776
20.6,19.5173791864598,1.0364532,1.099072,-5.52160184,1.06041642787151
20.7,19.6027091277808,1.04135766,1.104901,-5.57525664,1.06101970767661
20.8,19.687916512676,1.04626027,1.110737,-5.62916933,1.06162589926118
20.9,19.7730008637061,1.05116101,1.11658,-5.68333988,1.06223498529497
21,19.857962054168,1.05605988,1.122432,-5.73776827,1.06284882254972
21.1,19.9427996136274,1.06095686,1.128291,-5.79245446,1.06346548341278
21.2,20.0275134216323,1.06585195,1.134158,-5.84739842,1.06408587046259
21.3,20.1121031875076,1.07074514,1.140034,-5.90260012,1.06471087975239
21.4,20.1965686238709,1.07563642,1.145917,-5.95805953,1.06533860205291
21.5,20.2809094466253,1.08052578,1.151808,-6.01377661,1.06596993919016
21.6,20.3651252027347,1.0854132,1.157707,-6.06975135,1.06660486531765
21.7,20.4492159592743,1.09029869,1.163615,-6.12598369,1.06724424295144
21.8,20.5331812695543,1.09518223,1.16953,-6.18247362,1.06788620922018
21.9,20.6170208625456,1.10006381,1.175454,-6.2392211,1.06853256085208
22,20.7007344704666,1.10494342,1.181387,-6.29622609,1.06918325284022
22.1,20.7843220000494,1.10982106,1.187327,-6.35348857,1.0698364293069
22.2,20.8677830183296,1.11469671,1.193276,-6.4110085,1.07049387451767
22.3,20.9511174381127,1.11957037,1.199234,-6.46878586,1.07115553620805
22.4,21.0343248332491,1.12444202,1.2052,-6.52682059,1.07182049279873
22.5,21.1174051225827,1.12931166,1.211175,-6.58511269,1.07248959069457
22.6,21.2003578867455,1.13417927,1.217158,-6.6436621,1.07316191733958
22.7,21.2831830505833,1.13904485,1.22315,-6.7024688,1.07383831286362
22.8,21.365880371415,1.14390839,1.229151,-6.76153275,1.07451873834058
22.9,21.4484496097276,1.14876988,1.235161,-6.82085393,1.0752031555702
23,21.530890529167,1.15362931,1.241179,-6.88043229,1.07589066023297
23.1,21.6132028965285,1.15848667,1.247207,-6.9402678,1.07658295282759
23.2,21.6953864817474,1.16334195,1.253243,-7.00036042,1.07727826715094
23.3,21.777441057889,1.16819514,1.259288,-7.06071013,1.07797743448924
23.4,21.8593664011392,1.17304623,1.265343,-7.12131689,1.07868127243374
23.5,21.9411624593846,1.17789522,1.271406,-7.18218066,1.07938802909821
23.6,22.0228288460444,1.18274209,1.277479,-7.24330141,1.08009938159891
23.7,22.104365346605,1.18758683,1.283562,-7.30467911,1.08081528657572
23.8,22.1857717496333,1.19242943,1.289653,-7.36631371,1.08153402419798
23.9,22.2670481823914,1.1972699,1.295754,-7.42820518,1.08225722537583
24,22.3481939355518,1.2021082,1.301864,-7.49035349,1.08298404419835
24.1,22.4292093097111,1.20694435,1.307984,-7.5527586,1.08371525166011
24.2,22.5100937700238,1.21177832,1.314113,-7.61542047,1.0844500007229
24.3,22.5908471202973,1.2166101,1.320252,-7.67833908,1.08518908399659
24.4,22.6714695010269,1.2214397,1.326401,-7.74151437,1.08593244513012
24.5,22.7519603875853,1.22626709,1.332559,-7.80494632,1.08667924864558
24.6,22.8323197592374,1.23109227,1.338728,-7.8686349,1.08743108264338
24.7,22.9125474311981,1.23591523,1.344906,-7.93258005,1.08818628280841
24.8,22.9926433877027,1.24073597,1.351094,-7.99678175,1.08894561991299
24.9,23.0726071175976,1.24555446,1.357292,-8.06123995,1.08970907622939
25,23.1524386112212,1.2503707,1.3635,-8.12595463,1.09047660825706
25.1,23.2321378610595,1.25518469,1.369718,-8.19092573,1.09124817320708
25.2,23.3117043659484,1.2599964,1.375946,-8.25615324,1.09202375498851
25.3,23.3911382894715,1.26480584,1.382185,-8.3216371,1.09280409394694
25.4,23.4704394667992,1.269613,1.388434,-8.38737728,1.09358836117778
25.5,23.5496074066541,1.27441785,1.394693,-8.45337374,1.09437654219925
25.6,23.6286424445676,1.27922041,1.400963,-8.51962644,1.0951693617834
25.7,23.7075439309294,1.28402064,1.407243,-8.58613535,1.09596602746199
25.8,23.7863120417247,1.28881855,1.413534,-8.65290042,1.09676726797578
25.9,23.8649466264424,1.29361413,1.419835,-8.71992162,1.09757227218908
26,23.9434473737234,1.29840736,1.426147,-8.7871989,1.09838178982596
26.1,24.0218143027707,1.30319824,1.43247,-8.85473224,1.09919577546391
26.2,24.1000472715168,1.30798676,1.438803,-8.92252158,1.10001342827048
26.3,24.1781459776065,1.3127729,1.445148,-8.99056689,1.1008362527898
26.4,24.2561104480146,1.31755666,1.451503,-9.05886812,1.10166267915947
26.5,24.3339405490044,1.32233803,1.45787,-9.12742525,1.10249419356108
26.6,24.4116361495906,1.327117,1.464248,-9.19623822,1.10333000029387
26.7,24.4891971215265,1.33189356,1.470636,-9.265307,1.10416931515158
26.8,24.5666233392913,1.3366677,1.477036,-9.33463155,1.10501360959048
26.9,24.6439145181986,1.3414394,1.483447,-9.40421183,1.10586210603327
